division,x,y,alternative
Panchagarh,-190.0,281.0,Panchagar
Thakurgaon,-211.0,250.0,Thakurga
Nilphamari,-149.0,251.0,Nilfamari
Dinajpur,-175.0,227.0,
Rangpur,-131.0,218.0,Rongpur
Lalmonirhat,-120.0,253.0,
Kurigram,-74.0,242.0,
Gaibandha,-101.0,170.0,
Joypurhat,-127.0,154.0,
Naogaon,-181.0,140.0,Nowga
Nawabganj,-224.0,113.0,Noabganj
Rajshahi,-195.0,88.0,
Natore,-143.0,75.0,
Bogra,-122.0,119.0,
Pabna,-110.0,45.0,
Kushtia,-137.0,24.0,
Meherpur,-172.0,12.0,
Chuadanga,-161.0,-12.0,
Jhenaidah,-135.0,-22.0,Jhenaidaho
Rajbari,-101.0,7.0,
Magura,-102.0,-26.0,
Jessore,-133.0,-65.0,Joshore
Sathkhira,-134.0,-132.0,
Khulna,-96.0,-95.0,
Bagerhat,-72.0,-152.0,
Narail,-87.0,-59.0,Norail
Gopalganj,-52.0,-76.0,
Faridpur,-48.0,-11.0,
Madaripur,-30.0,-54.0,
Manikganj,-52.0,16.0,
Sirajganj,-86.0,77.0,
Tangail,-51.0,62.0,
Jamalpur,-61.0,128.0,
Sherpur,-41.0,161.0,
Mymenshingh,-14.0,99.0,Mymenshing
Netrokona,26.0,138.0,
Kishoreganj,42.0,74.0,Kishorganj
Sunamganj,66.0,154.0,Shunamganj
Habiganj,98.0,57.0,Hobiganj
Sylhet,137.0,145.0,
Moulvibazar,131.0,90.0,Moulovibazar
B.baria,64.0,31.0,Bramhanbaria
Narshingdi,29.0,24.0,Norshingdi
Gazipur,-2.0,50.0,
Dhaka,-7.0,7.0,
Narayanganj,14.0,-6.0,
Munshiganj,-11.0,-20.0,
Comilla,58.0,-28.0,
Chandpur,29.0,-48.0,
Shariatpur,-6.0,-46.0,Shoriatpur
Barishal,-7.0,-91.0,Borishal
Perojpur,-36.0,-111.0,Pirojpur
Jhalokati,-23.0,-125.0,Jhalokathi
Barguna,-34.0,-166.0,Borguna
Patuakhali,-2.0,-146.0,Potuakhali
Bhola,32.0,-168.0,
Laxmipur,43.0,-85.0,Lokkhipur
Noakhali,80.0,-131.0,
Feni,94.0,-74.0,
Khagrachari,151.0,-51.0,
Rangamati,175.0,-93.0,
Chittagang,148.0,-142.0,
Bandarban,196.0,-195.0,
Cox's Bazar,172.0,-242.0,
